,State/Province,Postcode,Store Number,City,Country,Population,Median Age,Household Income,Per Capita Income,Latitude,Longitude,Poverty Count,Race White,Race African American,Race American Indian,Race Asian,Race Pacific Islander,Race Two or More,ageCategory,ageBinned,householdCategory,householdBinned
94,AR,72227.0,1,Little Rock,US,11683.0,38.9,61182.0,37713.0,34.76,-92.38,1649.0,8788.0,2612.0,18.0,110.0,0.0,250.0,3,"(35, 55]",2,"(60000, 120000]"
95,AR,72401.0,4,Jonesboro,US,56614.0,32.0,36620.0,20042.0,35.84,-90.67,14728.0,41909.0,11441.0,672.0,679.0,104.0,1810.0,2,"(18, 35]",1,"(0, 60000]"
96,AR,72653.0,1,Mountain Home,US,27912.0,52.1,36834.0,23824.0,36.35,-92.37,3880.0,27075.0,76.0,209.0,38.0,0.0,636.0,3,"(35, 55]",1,"(0, 60000]"
97,AR,72701.0,2,Fayetteville,US,41869.0,26.9,37610.0,24224.0,36.07,-94.18,9229.0,35607.0,2502.0,361.0,772.0,99.0,2477.0,2,"(18, 35]",1,"(0, 60000]"
98,AR,72703.0,1,Fayetteville,US,30718.0,31.0,38741.0,33529.0,36.12,-94.15,6255.0,25743.0,1236.0,241.0,1203.0,0.0,1834.0,2,"(18, 35]",1,"(0, 60000]"
99,AR,72704.0,1,Fayetteville,US,23827.0,32.0,54219.0,28299.0,36.08,-94.21,3509.0,19411.0,1222.0,294.0,958.0,0.0,1834.0,2,"(18, 35]",2,"(0, 60000]"
100,AR,72712.0,2,Bentonville,US,46387.0,33.8,72369.0,36136.0,36.36,-94.2,3317.0,38679.0,1158.0,333.0,4242.0,24.0,1519.0,2,"(18, 35]",2,"(60000, 120000]"
101,AR,72719.0,1,Bentonville,US,9988.0,28.9,56109.0,23349.0,36.36,-94.25,594.0,8598.0,281.0,194.0,386.0,33.0,808.0,2,"(18, 35]",2,"(0, 60000]"
102,AR,72756.0,1,Rogers,US,39811.0,35.2,46344.0,24155.0,36.33,-94.18,7035.0,35650.0,611.0,478.0,570.0,14.0,1301.0,2,"(35, 55]",1,"(0, 60000]"
103,AR,72758.0,3,Rogers,US,38516.0,32.1,61311.0,32112.0,36.31,-94.15,4359.0,34029.0,513.0,477.0,1279.0,37.0,1660.0,2,"(18, 35]",2,"(60000, 120000]"
104,AR,72762.0,1,Springdale,US,36261.0,35.7,57196.0,27354.0,36.18,-94.18,3651.0,28781.0,503.0,397.0,1070.0,532.0,2078.0,2,"(35, 55]",2,"(0, 60000]"
105,AR,72802.0,1,Russellville,US,21052.0,41.3,47532.0,23814.0,35.28,-93.11,3044.0,19322.0,405.0,55.0,70.0,0.0,1378.0,3,"(35, 55]",1,"(0, 60000]"
106,AR,72903.0,2,Ft. Smith,US,26841.0,40.1,45125.0,31304.0,35.36,-94.36,4939.0,22149.0,1621.0,360.0,1496.0,0.0,2155.0,3,"(35, 55]",1,"(0, 60000]"
107,AR,72913.0,1,Ft. Smith,US,0.0,0.0,0.0,0.0,35.35,-94.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1,
108,AR,72956.0,1,Van Buren,US,33117.0,38.0,40266.0,21356.0,35.47,-94.36,6571.0,29089.0,499.0,664.0,826.0,0.0,3027.0,3,"(35, 55]",1,"(0, 60000]"
109,AZ,85003.0,3,Phoenix,US,9479.0,37.3,41038.0,30082.0,33.47,-112.07,2592.0,7456.0,1141.0,157.0,200.0,0.0,400.0,3,"(35, 55]",1,"(0, 60000]"
110,AZ,85004.0,4,Phoenix,US,4610.0,35.9,30202.0,31399.0,33.47,-112.07,1413.0,3673.0,350.0,103.0,131.0,11.0,190.0,3,"(35, 55]",1,"(0, 60000]"
111,AZ,85007.0,1,Phoenix,US,14445.0,33.9,28380.0,18481.0,33.47,-112.08,5872.0,9785.0,2033.0,379.0,518.0,9.0,500.0,2,"(18, 35]",1,"(0, 60000]"
112,AZ,85008.0,1,Phoenix,US,57086.0,28.9,33481.0,16078.0,33.48,-111.99,19099.0,30683.0,6474.0,1376.0,904.0,153.0,3162.0,2,"(18, 35]",1,"(0, 60000]"
113,AZ,85012.0,2,Phoenix,US,6279.0,44.6,58108.0,45093.0,33.49,-112.07,754.0,5165.0,359.0,311.0,110.0,10.0,372.0,3,"(35, 55]",2,"(0, 60000]"
114,AZ,85013.0,5,Phoenix,US,20228.0,39.2,50247.0,37333.0,33.52,-112.08,2767.0,14349.0,1037.0,1127.0,926.0,7.0,1442.0,3,"(35, 55]",2,"(0, 60000]"
115,AZ,85014.0,1,Phoenix,US,25553.0,36.4,43369.0,27793.0,33.52,-112.06,5420.0,17673.0,2190.0,978.0,726.0,0.0,1549.0,3,"(35, 55]",1,"(0, 60000]"
116,AZ,85015.0,2,Phoenix,US,39441.0,30.6,29729.0,16367.0,33.52,-112.09,14596.0,27534.0,3357.0,2120.0,2223.0,159.0,1948.0,2,"(18, 35]",1,"(0, 60000]"
117,AZ,85016.0,10,Phoenix,US,34901.0,38.6,48864.0,33782.0,33.53,-112.01,7027.0,26441.0,2077.0,1607.0,1163.0,87.0,2415.0,3,"(35, 55]",1,"(0, 60000]"
118,AZ,85017.0,1,Phoenix,US,40048.0,26.7,28533.0,12285.0,33.52,-112.13,15344.0,26525.0,3415.0,814.0,1918.0,10.0,1799.0,2,"(18, 35]",1,"(0, 60000]"
119,AZ,85018.0,5,Phoenix,US,37978.0,39.4,54176.0,42593.0,33.5,-111.96,6211.0,30780.0,1151.0,635.0,1100.0,15.0,2213.0,3,"(35, 55]",2,"(0, 60000]"
