State,City,Postcode,State Population Rank,Household Income,Median Age,Population,Race White,Starbucks Count
PA,GREEN LANE,18054,11,72750,43.5,4461,4430,357
NY,TULLY,13159,4,72745,43.8,5370,5173,645
AL,NORTHPORT,35475,33,72730,35.3,15797,15109,85
WY,FORT BRIDGER,82933,44,72727,38.5,595,595,23
CA,DOBBINS,95935,1,72719,35.8,592,470,2821
PA,GLENSHAW,15116,11,72708,48.6,14064,13864,357
OR,SAINT PAUL,97137,17,72708,39,1415,1274,359
WI,FREDONIA,53021,22,72692,40.1,4875,4744,145
IL,LODA,60948,5,72656,44.7,1392,1363,575
NE,YUTAN,68073,38,72656,39.5,1811,1757,58
AL,HUNTSVILLE,35803,33,72644,44,27282,24087,85
CO,CLARK,80428,13,72639,42.3,733,726,481
NJ,WILLIAMSTOWN,08094,18,72630,40,40046,30773,261
GA,BRASELTON,30517,10,72629,36,12423,11171,326
PA,FORESTVILLE,16035,11,72625,51.3,81,81,357
NY,STAATSBURG,12580,4,72589,41.4,4514,3947,645
MN,FISHER,56723,20,72589,37.1,983,926,184
CT,CHAPLIN,06235,30,72589,41.8,2151,2065,123
MA,SOMERSET,02726,23,72585,44.2,15872,15400,273
SD,UTICA,57067,43,72578,46.3,471,457,25
MA,HAVERHILL,01835,23,72568,38.7,13183,11937,273
CA,ALVISO,95002,1,72557,36.1,1764,1003,2821
NC,DENVER,28037,12,72538,44.2,18822,18266,338
GA,POWDER SPRINGS,30127,10,72531,39.2,61283,33297,326
NC,SOUTH MILLS,27976,12,72526,40.8,3591,2886,338
ME,HAMPDEN,04444,48,72520,42.8,8812,8556,30
PA,ROGERSVILLE,15359,11,72500,41.9,149,148,357
NY,ROCHESTER,14625,4,72500,48.5,10185,9621,645
ND,TOLLEY,58787,49,72500,53.3,146,144,13
NY,HYDE PARK,12538,4,72500,41.8,13760,12053,645
WI,WILLIAMS BAY,53191,22,72500,48.2,2921,2691,145
AK,YAKUTAT,99689,41,72500,39.1,597,232,49
CA,VALLECITO,95251,1,72500,44.5,872,828,2821
HI,KAAAWA,96730,31,72500,40.1,1276,568,99
MN,RANDOLPH,55065,20,72500,42.1,1138,1135,184
IA,DOLLIVER,50531,32,72500,44.5,266,266,89
OR,MOUNT HOOD PARKDALE,97041,17,72500,42.8,2471,2035,359
MA,WHITMAN,02382,23,72490,39.8,14715,14067,273
NY,FRESH MEADOWS,11366,4,72486,40.2,13192,6047,645
NY,OAKLAND GARDENS,11364,4,72477,43.7,34949,14641,645
PA,MC DONALD,15057,11,72471,41.8,15085,14234,357
NY,SAINT ALBANS,11412,4,72458,40.1,37832,713,645
OH,WAYNESVILLE,45068,7,72455,42.2,10987,10758,377
WI,LODI,53555,22,72448,45.7,8446,8278,145
MD,RISING SUN,21911,15,72434,38.5,11216,10864,257
SD,NORTH SIOUX CITY,57049,43,72422,41.4,6058,5483,25
NY,KINDERHOOK,12106,4,72417,50.1,2213,2175,645
PA,OLEY,19547,11,72414,46.2,4089,4034,357
MD,PORT DEPOSIT,21904,15,72404,39.6,7992,7351,257
CA,OAK VIEW,93022,1,72403,44.8,7122,6465,2821
PA,MILFORD,18337,11,72401,43.4,14351,13126,357
NY,VALLEY FALLS,12185,4,72400,47.5,2009,2002,645
WI,NEW FRANKEN,54229,22,72391,40.3,4254,4032,145
FL,NICEVILLE,32578,3,72390,41.8,31806,27514,694
IL,SOMONAUK,60552,5,72379,45,4630,4463,575
