State/Province,Postcode,Starbucks Count,City,Country,Latitude,Longitude,Population,Median Age,Household Income,Per Capita Income,Cafe Count
AZ,85306,3,Glendale,US,33.61,-112.16,24735,37.5,58968,25014,4
AZ,85308,9,Glendale,US,33.67,-112.15,65154,40.1,68079,31779,2
AZ,85309,1,Glendale,US,33.54,-112.36,789,21.3,0,19188,1
AZ,85310,3,Phoenix,US,33.71,-112.14,19207,39.6,90038,36286,1
AZ,85323,1,Avondale,US,33.43,-112.31,40306,27.7,43454,15206,0
AZ,85326,1,Buckeye,US,33.43,-112.56,55996,31.9,51611,16965,4
AZ,85331,4,Phoenix,US,33.8,-111.97,27898,47.4,89988,43501,1
AZ,85338,5,Goodyear,US,33.49,-112.36,46600,33.4,65375,24726,10
AZ,85339,3,Laveen,US,33.38,-112.17,42223,28.9,63418,20962,3
AZ,85340,4,Litchfield Park,US,33.51,-112.34,28890,37.2,81946,30843,5
AZ,85344,1,Parker,US,34.15,-114.28,9981,39.1,34865,19465,3
AZ,85345,1,Peoria,US,33.56,-112.29,59693,34.6,46416,20560,2
AZ,85351,3,Sun City,US,33.64,-112.28,29094,72.9,34664,26640,2
AZ,85353,1,Tolleson,US,33.42,-112.27,35574,27.0,52552,16846,1
AZ,85364,3,Yuma,US,32.68,-114.62,73631,31.5,38281,18304,4
AZ,85365,3,Yuma,US,32.7,-114.49,49050,34.9,48572,24434,0
AZ,85367,2,Yuma,US,32.67,-114.41,20931,62.7,50354,29612,0
AZ,85373,1,Phoenix,US,33.64,-112.29,18926,65.7,51224,28922,2
AZ,85374,6,Surprise,US,33.66,-112.35,46394,52.2,48681,25979,3
AZ,85375,2,Sun City West,US,33.67,-112.35,27502,74.1,46007,35226,2
AZ,85377,1,CAREFREE,US,33.82,-111.92,2978,66.3,84485,62004,9
AZ,85379,3,Surprise,US,33.61,-112.36,43550,32.4,72320,25238,6
AZ,85381,1,Peoria,US,33.61,-112.22,27154,41.8,73817,31296,6
AZ,85382,5,Peoria,US,33.68,-112.23,41584,43.1,64521,31563,5
AZ,85383,4,Peoria,US,33.72,-112.26,40928,36.6,102773,40481,3
AZ,85388,1,Surprise,US,33.62,-112.43,25266,32.4,70686,24350,4
AZ,85390,1,Wickenburg,US,33.96,-112.77,8702,56.5,42461,28125,0
AZ,85392,3,Avondale,US,33.49,-112.28,37303,32.0,65850,25786,6
AZ,85395,2,Goodyear,US,33.47,-112.34,27465,43.3,76861,34083,11
AZ,85539,1,Miami,US,33.4,-110.87,5233,42.2,43900,20335,0
AZ,85540,1,Morenci,US,33.05,-109.33,3280,28.1,67260,24434,0
AZ,85541,2,Payson,US,34.25,-111.31,21491,55.7,40760,23464,4
AZ,85552,1,Thatcher,US,32.84,-109.74,6507,26.0,42215,20662,2
AZ,85602,1,Benson,US,31.97,-110.31,8898,54.5,38575,21730,2
AZ,85603,1,Bisbee,US,31.4,-109.92,6872,50.1,31736,23448,1
AZ,85613,1,Fort Huachuca,US,31.55,-110.36,5859,21.2,61892,18490,1
AZ,85614,1,Green Valley,US,31.85,-111.0,22046,69.0,48333,33201,1
AZ,85621,2,Nogales,US,31.37,-110.94,22965,33.4,28673,14627,3
AZ,85629,2,Sahuarita,US,31.96,-110.99,23359,33.2,64308,25122,2
AZ,85635,3,Sierra Vista,US,31.56,-110.26,35055,35.6,53780,25790,5
AZ,85643,1,WILLCOX,US,32.26,-109.84,8902,41.0,41871,20962,2
AZ,85653,1,Marana,US,32.37,-111.14,13984,38.1,56721,22563,1
AZ,85658,1,Marana,US,32.41,-111.3,10600,53.3,81027,42370,0
AZ,85704,5,Tucson,US,32.34,-110.97,30411,48.5,51971,32382,6
AZ,85705,5,Tucson,US,32.29,-110.96,56176,34.1,24188,15476,12
AZ,85707,1,Tucson,US,32.22,-110.86,749,20.9,0,20402,18
AZ,85710,4,Tucson,US,32.24,-110.82,56534,42.2,41845,24029,6
AZ,85711,2,Tucson,US,32.22,-110.87,41015,36.8,33279,20498,16
AZ,85712,4,Tucson,US,32.27,-110.86,33906,38.8,32240,22709,4
AZ,85713,1,Tucson,US,32.18,-110.95,47261,35.5,32892,15716,2
AZ,85714,2,Tuscon,US,32.16,-110.99,14706,34.4,25106,12298,3
AZ,85715,1,Tucson,US,32.25,-110.84,18200,46.1,55238,32935,10
AZ,85716,3,Tucson,US,32.24,-110.91,33137,34.2,33075,24953,10
AZ,85718,5,Tucson,US,32.32,-110.89,27414,50.9,76853,59118,4
AZ,85719,4,Tucson,US,32.27,-110.94,44813,23.5,29813,18392,13
AZ,85721,2,Tucson,US,32.23,-110.95,0,0.0,0,0,34
AZ,85730,2,Tucson,US,32.19,-110.79,39772,37.2,45873,23534,2
AZ,85737,3,Oro Valley,US,32.4,-110.96,21851,49.3,80571,40429,6
AZ,85739,1,Tucson,US,32.48,-110.92,17621,64.1,62063,33457,2
AZ,85741,4,Tucson,US,32.34,-111.01,34707,34.6,51614,23816,5
AZ,85742,1,Marana,US,32.37,-111.1,26466,39.0,69395,32928,3
AZ,85743,1,Tucson,US,32.36,-111.09,29404,41.0,68945,33190,4
AZ,85745,4,Tucson,US,32.3,-110.97,37746,38.0,47841,27532,9
AZ,85746,2,Tucson,US,32.14,-111.01,43591,31.9,39669,16160,3
AZ,85747,2,Tucson,US,32.12,-110.77,24423,35.2,82024,31399,1
AZ,85748,4,Tucson,US,32.22,-110.77,17458,45.8,64814,34863,3
AZ,85749,1,Tucson,US,32.25,-110.84,19188,51.8,84583,44223,10
AZ,85750,1,Tucson,US,32.31,-110.89,23494,53.2,72431,51540,4
AZ,85755,1,Oro Valley,US,32.43,-110.96,15875,55.9,88305,44209,1
AZ,85757,1,Tucson,US,32.13,-111.09,18819,30.3,54199,17539,1
AZ,85901,1,Show Low,US,34.25,-110.05,17211,43.9,41493,21302,4
AZ,85929,1,Lakeside,US,34.14,-109.96,8283,47.1,43472,25781,3
AZ,86001,7,Flagstaff,US,35.2,-111.63,42168,28.9,48292,28485,27
AZ,86004,2,Flagstaff,US,35.23,-111.58,37521,34.3,60887,29699,6
AZ,86011,1,Flagstaff,US,35.19,-111.66,7478,19.1,0,4699,31
AZ,86040,1,Page,US,36.92,-111.46,10653,33.0,54538,22388,4
AZ,86046,1,Williams,US,35.25,-112.19,5906,45.8,44397,23208,6
